Date;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection;Population;Infections
22/05/2020;28289;64209;15.52;35.24;49.24;66990000;182219
21/05/2020;28215;63858;15.52;35.12;49.36;66990000;181826
20/05/2020;28132;63354;15.49;34.89;49.62;66990000;181575
19/05/2020;28022;62563;15.50;34.60;49.90;66990000;180809
18/05/2020;28239;61728;15.69;34.31;50.00;66990000;179927
17/05/2020;28108;61213;15.65;34.09;50.26;66990000;179569
16/05/2020;27625;61066;15.40;34.05;50.55;66990000;179365
15/05/2020;27529;60448;15.34;33.67;50.99;66990000;179506
14/05/2020;27425;59605;15.33;33.32;51.34;66990000;178870
13/05/2020;27074;58673;15.20;32.95;51.84;66990000;178060
12/05/2020;26991;57785;15.14;32.42;52.43;66990000;178225
11/05/2020;26643;56724;15.02;31.97;53.01;66990000;177423
10/05/2020;26380;56217;14.91;31.77;53.33;66990000;176970
09/05/2020;26310;56038;14.89;31.72;53.39;66990000;176658
08/05/2020;26230;55782;14.90;31.68;53.42;66990000;176079
07/05/2020;25987;55027;14.87;31.48;53.65;66990000;174791
06/05/2020;25809;53972;14.82;30.98;54.20;66990000;174191
05/05/2020;25531;52736;14.97;30.92;54.11;66990000;170551
04/05/2020;25201;51371;14.87;30.31;54.81;66990000;169462
03/05/2020;24895;50784;14.76;30.10;55.14;66990000;168693
02/05/2020;24760;50562;14.70;30.03;55.27;66990000;168396
01/05/2020;24594;50212;14.70;30.00;55.30;66990000;167346
30/04/2020;24376;49476;14.58;29.59;55.82;66990000;167178
29/04/2020;24087;48228;14.59;29.21;56.20;66990000;166420
28/04/2020;23660;46886;14.12;27.97;57.91;66990000;165911
27/04/2020;23293;45513;14.15;27.65;58.20;66990000;165842
26/04/2020;22856;44903;14.21;27.92;57.87;66990000;162100
25/04/2020;22614;44594;14.11;27.82;58.07;66990000;161488
24/04/2020;22245;43493;14.02;27.42;58.56;66990000;159828
23/04/2020;21856;42088;13.82;26.61;59.58;66990000;158183
22/04/2020;21340;40657;13.69;26.09;60.22;66990000;155873
21/04/2020;20796;39181;13.16;24.79;62.05;66990000;158050
20/04/2020;20265;37409;13.05;24.09;62.86;66990000;155383
19/04/2020;19718;36578;12.90;23.92;63.18;66990000;152894
18/04/2020;19323;35983;13.06;24.32;62.62;66990000;151793
17/04/2020;18681;34420;12.62;23.26;64.11;66990000;147969
16/04/2020;17920;32812;12.28;22.48;65.24;66990000;146060
15/04/2020;17167;30955;12.86;23.19;63.95;66990000;133470
14/04/2020;15729;28805;12.08;22.11;65.81;66990000;130253
13/04/2020;14967;27718;12.04;22.30;65.66;66990000;124298
12/04/2020;14393;27186;11.93;22.54;65.53;66990000;120633
11/04/2020;13832;26391;11.51;21.96;66.53;66990000;120181
10/04/2020;13197;24932;11.42;21.57;67.02;66990000;115608
09/04/2020;12210;23206;11.15;21.18;67.67;66990000;109540
08/04/2020;10869;21254;10.52;20.57;68.90;66990000;103302
07/04/2020;10328;19337;10.59;19.83;69.58;66990000;97504
06/04/2020;8911;17250;9.72;18.82;71.45;66990000;91640
05/04/2020;8078;16183;9.32;18.67;72.00;66990000;86661
04/04/2020;7560;15438;9.00;18.37;72.64;66990000;84043
03/04/2020;6507;14008;8.31;17.88;73.81;66990000;78346
02/04/2020;5387;12428;7.53;17.37;75.10;66990000;71533
01/04/2020;4032;10934;5.94;16.10;77.97;66990000;67924
31/03/2020;3523;9444;6.76;18.12;75.12;66990000;52128
30/03/2020;3024;7927;6.79;17.79;75.42;66990000;44550
29/03/2020;2606;7202;6.49;17.93;75.59;66990000;40174
28/03/2020;2314;5700;6.16;15.17;78.67;66990000;37575
27/03/2020;1995;5700;6.05;17.29;76.66;66990000;32964
26/03/2020;1696;4948;5.82;16.97;77.21;66990000;29155
